listing_link,base_urls,listing_title,listing_rating,bedrooms,beds,baths,latitude,longitude,price_per_night,review_count,review_count_link,listing_description,host_link,host_response_rate,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,facilities,principalSubdivision,city,localityName,country_name,is_bd_division
https://www.airbnb.com/rooms/838409736594617593?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223037_P3Ss4Ao__AH501-Z&previous_page_section_name=1000&federated_search_id=d5b15476-0204-48f5-80b0-938fc87dfbab,https://www.airbnb.com/rooms/838409736594617593,Serviced Apartment In Dhaka ,, 1  ,, 1  ,23.74342,90.4266,39.0,0,,"Luxurious 2 bedroom apartment in Dhaka. Fully Furnished,equipped kitchen,luxurious attached washroom,Ac,specious living area and beautiful open balcony.",https://www.airbnb.com/users/show/496174830,,,,,,,,"['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Paid parking on premises']",Dhaka Division,Dhaka,Khilgaon,Bangladesh,True
https://www.airbnb.com/rooms/806735946921169420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223040_P3qhBAvEgrWfjOyN&previous_page_section_name=1000&federated_search_id=7b4074e5-c71a-4496-9eac-c7193e1aa087,https://www.airbnb.com/rooms/806735946921169420,Rental Unit In Dhaka ,, 2  , 2  , 2 ,23.7463,90.42755,39.0,0,,Your family will be close to everything when you stay at this centrally-located place.,https://www.airbnb.com/users/show/369755401,100.0,,,,,,,"['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Kitchen']",Dhaka Division,Dhaka,Khilgaon,Bangladesh,True
https://www.airbnb.com/rooms/1060738834382946548?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223042_P3d--vHBtQ0AKP0q&previous_page_section_name=1000&federated_search_id=57b69c24-4e2a-4e7d-8287-aa48302b4143,https://www.airbnb.com/rooms/1060738834382946548,Rental Unit In Dhaka ,, 3  , 3  , 3 ,23.7522,90.4143,68.0,0,,Your family will be close to everything when you stay at this centrally-located place.,https://www.airbnb.com/users/show/554181237,,,,,,,,"['City skyline view', 'Hair dryer', 'Hot water', 'Washer', 'Hangers', 'Bed linens', 'Iron', 'Mosquito net', 'Clothing storage: closet, wardrobe, and dresser', 'TV', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Paid parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox']",Dhaka Division,Dhaka,Khilgaon,Bangladesh,True
https://www.airbnb.com/rooms/42611763?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,https://www.airbnb.com/rooms/42611763,Serviced Apartment In Dhaka , 4.11 , 1  , 2  , 1 ,23.8206,90.4274,50.0,36,https://www.airbnb.com/rooms/42611763/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,,https://www.airbnb.com/users/show/120995237,100.0,4.1,4.0,4.6,4.4,4.4,4.1,"['City skyline view', 'Courtyard view', 'Garden view', 'Park view', 'Pool view', 'Hair dryer', 'Cleaning products', 'Sunsilk shampoo', 'Savlon body soap', 'Outdoor shower', 'Hot water', 'Paid washer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Safe', 'Mosquito net', 'Clothing storage: walk-in closet, closet, wardrobe, and dresser', '43 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku, standard cable', 'Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat, workout bench, rowing', 'Books and reading material', 'Movie theater', 'Paid crib - available upon request', 'Paid pack ’n play/travel crib - available upon request', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old', 'Paid standalone high chair - available upon request', 'Children’s dinnerware', 'Changing table - available upon request', 'Window guards', 'Outlet covers', ""Children's playroom"", 'Outdoor playground', 'AC - split type ductless system', 'Ceiling fan', 'Heating - split type ductless system', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Sharp refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Other stainless steel induction stove', 'Sharp stainless steel single oven', 'Hot water kettle', 'Coffee maker: drip coffee maker, espresso machine, Nespresso', 'Wine glasses', 'Toaster', 'Blender', 'Dining table', 'Coffee', 'Waterfront', 'Private entrance', 'Laundromat nearby', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Outdoor kitchen with oven, sink', 'Private BBQ grill: charcoal, electric, gas, wood-burning', 'Sun loungers', 'Free parking on premises', 'Free street parking', 'Private outdoor pool - available all year, open specific hours, heated, infinity, lap pool, rooftop, water slide', 'Private sauna', 'Elevator', 'Private gym in building', 'Paid parking garage on premises – 20 spaces', 'Pets allowed', 'Luggage dropoff allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay']",Dhaka Division,Dhaka,Kuril,Bangladesh,True
https://www.airbnb.com/rooms/939911358194874327?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223058_P3qjZu4oiI3v8Mh-&previous_page_section_name=1000&federated_search_id=2dc055f5-4a39-4a0a-ad14-19a22df15daa,https://www.airbnb.com/rooms/939911358194874327,Rental Unit In Dhaka , 3.75 , 4  ,, 4 ,23.817352,90.431394,58.0,4,https://www.airbnb.com/rooms/939911358194874327/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223058_P3qjZu4oiI3v8Mh-&previous_page_section_name=1000&federated_search_id=2dc055f5-4a39-4a0a-ad14-19a22df15daa,,https://www.airbnb.com/users/show/409775960,100.0,3.5,3.5,4.8,5.0,5.0,3.8,"['Hair dryer', 'Iron', 'TV', ""Children's playroom"", 'Outdoor playground', 'Air conditioning', 'Noise decibel monitors on property', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Outdoor dining area', 'BBQ grill', 'Free parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox']",Dhaka Division,Dhaka,Bashundhara Residential Area,Bangladesh,True
https://www.airbnb.com/rooms/636562610229698749?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3LvhvYtcC9Sxwcc&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,https://www.airbnb.com/rooms/636562610229698749,Boutique Hotel In Kuakata ,, 1  , 1  , 1  ,21.8158,90.1254,,0,,"Easily access local hot spots from this hip place of Kuakata. Hotel Graver Inn has the maximum facilities you expect from a luxury whether you are with us on a business, pleasure, attending or organizing an event, you have access to arrange of superb comforts and amenities for an effortless and enjoyable stay for creating the perfect balance of modern comforts and nostalgic ambiance.",https://www.airbnb.com/users/show/448516426,40.0,,,,,,,"['Beach view', 'City skyline view', 'Courtyard view', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'BBQ grill', 'Free parking on premises', 'Smoking allowed', 'Self check-in', 'Building staff']",Barisal Division,Kalapara,Kalapara,Bangladesh,True
https://www.airbnb.com/rooms/1038694988487697554?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1793976396&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3XRf0PRIfRdulu0&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,https://www.airbnb.com/rooms/1038694988487697554,Home In Bagerhat , New , 2  , 2  , 3 ,22.6552,89.778,,0,,"My house is situated in village. The village is absolutely beautiful. In front of my home there are three fishing lakes. Many kinds of trees are around my home. There is a natural beauty. we have fisherman, farmers, Nakshikathas etc. There are many historical places in Bagerhat. I invite you to my home to feel the village life, historical places and world heritage sites.",https://www.airbnb.com/users/show/548692344,,,,,,,,"['TV', 'Lock on bedroom door', 'Wifi', 'Free parking on premises']",Khulna Division,Bagerhat,Bagerhat,Bangladesh,True
https://www.airbnb.com/rooms/51229698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3lQun5SJhSWJOX9&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,https://www.airbnb.com/rooms/51229698,Villa In Fakirhat ,, 1  , 1  , 1  ,22.77792,89.70845,,0,,"Relax with the whole family at this peaceful place to stay. This place is full of all modern facilities. we all together can share our story, idea, experience etc",https://www.airbnb.com/users/show/414704354,,,,,,,,"['Indoor fireplace', 'Exterior security cameras on property', 'Wifi', 'Dedicated workspace', 'Pets allowed']",Khulna Division,Fakirhat,Fakirhat,Bangladesh,True
https://www.airbnb.com/rooms/646727141805020398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221289_P3kak5Kov7NpzXoD&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/646727141805020398,Boutique Hotel In Kuakata ,, 1  , 1  , 1  ,21.8156,90.1385,,0,,"Enjoy easy access to sea beach and restaurants from this charming place to stay. Great for couple, and executive. This Room size is 410 Square feet for one couple bed. In addition, luxurious furniture & supplies and stylish residential furnishing open greater opportunity to make your stay exciting and fascinating. It is ideal for honeymooners, who don’t need suites, but would like to have comfort and elegance up to high-quality.",https://www.airbnb.com/users/show/448516426,40.0,,,,,,,"['Beach view', 'Canal view', 'City skyline view', 'Courtyard view', 'Garden view', 'Park view', 'Pool view', 'Resort view', 'Sea view', 'TV', 'Exercise equipment', 'High chair', 'Children’s dinnerware', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Refrigerator', 'Patio or balcony', 'Backyard', 'BBQ grill', 'Free parking on premises', 'Pool', 'Gym', 'Smoking allowed', 'Self check-in', 'Building staff']",Barisal Division,Kalapara,Kalapara,Bangladesh,True
https://www.airbnb.com/rooms/817980115272663006?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3Z3C_V_CYhNXB0X&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/817980115272663006,Rental Unit In Barisal ,, 2  , 2  , 2 ,22.70203,90.3752,193.0,0,,Your family will be close to everything when you stay at this centrally-located & river side place.,https://www.airbnb.com/users/show/499157968,,,,,,,,"['City skyline view', 'Garden view', 'Harbor view', 'Park view', 'Resort view', 'River view', 'Outdoor shower', '36 inch HDTV with Netflix, premium cable, standard cable, DVD player', 'Exercise equipment', 'Pool table', 'Air conditioning', 'Indoor fireplace', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Coffee maker', 'Beach access – Beachfront', 'Lake access', 'Patio or balcony', 'Backyard', 'Fire pit', 'Outdoor furniture', 'Hammock', 'Outdoor dining area', 'Outdoor kitchen', 'BBQ grill', 'Free parking on premises', 'Shared hot tub', 'Pets allowed', 'Smoking allowed']",Barisal Division,Barishal,Barishal,Bangladesh,True
